x_km,y_km,pickups_per_day
0.3221,-4.426,60
-4.7713,3.6316,48
-5.4132,4.8658,32
4.1161,0.9735,71
1.5972,5.5361,107
-0.0742,-4.3746,80
2.7577,1.2846,106
-5.9622,-3.5767,37
4.2504,1.2232,102
2.6499,4.1633,100
0.4781,-5.7162,5
2.1787,3.7936,150
1.1224,0.4958,208
-0.6499,-0.3914,279
-0.0143,-5.4329,19
-5.9228,-2.065,36
1.863,3.3094,116
5.7973,-4.6407,0
-0.7778,-5.5465,33
-4.478,-4.9541,41
1.6434,-0.2809,140
-0.6853,1.4615,121
-4.018,-5.2577,36
-0.3601,3.059,142
-4.2527,3.1293,70
3.8325,-4.4421,0
-0.1985,4.4548,224
3.033,0.1929,97
-4.5702,-5.772,32
-4.9907,-1.1515,122
4.1937,1.9343,125
-0.78,0.2762,288
3.3059,1.9288,143
-4.8137,-5.3931,30
-3.1586,4.2803,79
4.9257,2.7911,89
-4.6047,3.0556,68
0.4517,4.2401,250
-2.6679,-1.4083,130
-2.3887,-0.2394,128
-5.4028,-5.9198,26
2.1624,-3.9068,17
-5.4217,1.6605,58
-1.97,0.8811,107
0.4187,-1.8491,129
5.6706,-0.8428,15
4.2274,3.2262,96
-0.1594,2.8964,143
3.7671,0.3485,75
-1.8231,1.234,94
-5.5998,4.8119,30
-3.5164,-5.6985,41
-5.321,2.8285,48
-2.1367,3.8873,117
0.3863,5.1246,193
-1.8667,-1.6858,107
0.3268,-0.88,249
0.0876,1.4521,138
-2.8655,-0.4482,149
4.2285,5.3956,35
-1.0909,-2.8766,193
-3.5557,-5.7738,34
0.6827,1.9644,122
1.0609,5.2451,138
1.206,5.8498,75
2.6515,-5.5914,1
-0.9794,-5.8724,38
-3.8549,-1.4788,167
5.1872,0.4579,57
1.7783,-1.5305,173
-4.4247,-5.5896,39
-3.5558,2.0712,110
-1.1234,-1.0359,146
1.2547,2.0272,109
5.8511,-5.4552,0
-3.1266,1.8118,107
2.513,2.3167,119
5.1568,4.4363,37
-1.3787,4.5753,92
2.4798,-3.9138,17
-4.0948,-2.0422,101
-0.9713,4.642,134
-2.454,1.3943,112
-1.4746,-4.7137,87
-2.5578,-0.8034,141
3.3595,2.3621,171
0.7643,-0.4317,278
3.5672,3.7535,115
-1.574,-0.4229,129
-2.0269,2.4466,142
-2.1012,3.1349,182
-3.0696,-1.3121,173
2.4663,-2.9249,100
4.6247,-1.9033,29
-3.8355,-0.7501,203
-5.5579,5.976,31
-5.3081,2.6751,41
-5.4866,4.1079,50
-0.1294,-4.7519,63
3.2145,5.6654,45
-1.9008,-4.3347,92
-1.1534,-4.3879,117
4.7117,0.1398,60
5.0055,0.2749,63
-4.9803,-4.6989,45
-2.9692,2.773,167
5.8127,0.5953,40
3.5541,-1.9408,104
4.9032,4.4158,49
3.6434,3.2819,143
-0.9868,5.1082,104
0.3061,-3.7214,83
2.439,4.952,74
2.4221,-0.8471,155
0.7297,-2.8504,92
-5.9104,-4.2152,30
5.6285,-5.4231,0
-1.8546,3.6755,116
-5.3621,4.6903,23
1.6581,-1.0997,163
0.6352,4.6518,237
1.2802,1.63,106
3.4621,2.0288,158
-4.7812,-0.8525,132
4.9234,3.2319,77
2.9188,-3.2723,45
-3.1006,1.5044,109
0.9232,-5.9273,6
4.9553,-1.6434,20
-0.867,-3.9559,165
2.3595,4.9193,62
2.8275,4.3411,77
3.9168,0.2404,78
-0.1818,0.4943,343
1.534,5.9692,65
0.589,-5.9324,6
-0.5243,-0.7695,217
-3.5679,4.7221,46
-0.7105,4.7917,155
-1.1218,-2.7488,165
-3.4548,2.5813,125
-5.6176,1.7043,44
0.0173,1.1504,186
1.0931,-0.6808,184
5.0683,-3.2924,2
0.7544,2.5973,150
-1.35,0.4359,133
-5.9734,-5.7753,27
-4.948,2.0186,55
-2.9872,-3.8627,74
-0.8181,-1.3972,161
-3.9484,-4.0551,35
4.3944,3.6173,95
-5.7116,-2.7483,54
1.0855,-2.5957,110
2.3338,-4.1349,16
-2.2742,-0.2448,100
0.7766,-3.5974,74
3.2058,1.7444,157
3.4096,-0.4446,91
-3.8532,0.9201,93
2.7363,5.594,58
4.948,2.344,88
-4.8757,0.6617,74
-1.854,3.9364,118
4.5463,-5.0309,0
-3.2861,-2.566,99
-3.7214,5.6209,44
4.9536,-2.7862,5
2.3688,-2.2703,203
-1.536,-4.2816,110
5.3029,-4.0521,0
4.0363,-4.6762,0
0.7809,4.4853,258
3.7866,1.4032,113
1.1008,5.6031,110
0.9124,-1.3039,138
-2.4491,4.9851,45
1.2776,-0.5216,170
-5.7937,-3.2894,39
2.8638,3.1601,131
3.6556,0.5783,72
-3.8071,5.4767,38
-2.3724,-0.3308,101
-3.3515,-4.4233,64
-5.6403,-5.0283,35
-1.9121,-4.6138,56
-0.8624,1.5551,126
3.5194,2.5156,156
3.6314,4.7537,45
0.8896,1.9975,101
-3.2161,0.443,138
2.9612,3.9506,104
-5.1335,-2.4804,53
3.1683,2.2737,175
-2.3161,-5.1122,52
5.8085,-0.8973,16
-2.6277,3.5259,152
-2.349,-5.6408,49
4.4935,3.4343,96
-2.8474,2.963,171
4.7646,5.2898,37
-5.7455,4.8777,31
5.7192,-5.1348,0
4.1024,0.0759,75
-1.0922,-3.6066,146
3.9253,4.1874,79
4.8403,5.6827,28
4.3494,-2.0423,25
-3.6457,-1.9022,163
-5.6214,2.8987,36
-0.6437,-1.9537,160
5.7515,-5.4933,0
-0.3192,-4.474,91
-1.0142,0.6636,197
-1.4682,-1.8748,123
1.2919,-0.8953,158
4.5196,4.6329,37
4.0898,-5.3002,0
-5.8311,-3.5699,42
-1.3152,2.958,133
-5.5064,2.9754,36
-1.7929,1.9108,129
-4.507,2.0657,75
-4.4169,-4.0988,36
2.4298,5.4354,62
-2.4578,2.5492,194
-2.396,-5.477,38
1.2758,5.7891,92
-0.5031,-0.6319,284
-3.3945,1.1064,90
-4.2517,-2.0302,101
-5.3654,-4.7071,31
5.5517,-3.7448,0
-0.0736,0.7368,272
0.0568,2.1596,113
0.2094,3.278,216
2.6802,-0.856,163
5.6151,3.1841,61
-3.0097,-1.3001,159
-5.9151,-3.9601,40
0.3981,-0.7912,231
2.4933,4.0922,98
-0.8208,-2.7125,194
-2.938,-5.5769,38
0.3239,2.2389,113
2.9285,5.8193,41
-0.5744,5.6682,92
5.612,5.0817,43
1.1845,-5.7468,4
0.1926,-4.5609,42
-4.9543,2.5261,39
0.5759,5.4656,118
-4.8837,-2.1868,66
-5.1756,-3.2612,56
3.7598,-0.4847,80
4.3803,5.0525,35
-0.0379,4.5401,226
-2.8624,-0.1069,120
-3.0944,-2.1619,91
2.6421,0.7197,102
-5.8945,-0.1206,54
1.5531,2.7867,131
-0.6202,-0.9981,202
5.1099,2.0176,61
3.0516,-5.1352,0
-1.4546,-5.057,60
1.8285,2.047,127
-4.5205,-5.0245,32
-5.2334,-2.866,63
3.0964,4.9859,51
1.3228,2.945,173
-1.9994,3.087,171
2.2985,-4.2798,4
4.5707,1.7148,93
-3.598,0.4417,134
-0.0639,-4.804,41
-4.7324,2.6278,53
-2.4594,4.8353,45
-2.7319,-3.559,67
0.6153,0.1108,312
3.877,5.3879,35
-5.2139,-3.9777,42
-2.229,1.6978,115
-4.8015,5.2522,34
-5.0268,-1.0,113
-1.0867,5.9711,60
-2.9506,5.0828,39
4.3417,0.4222,73
-0.1944,-4.7166,55
-2.4318,-4.2238,82
0.1012,4.1969,288
-2.2991,-1.7868,98
3.6086,-5.0871,1
-5.5712,3.5618,45
1.4092,-5.5497,4
-5.7448,-4.6221,35
-0.9905,0.8263,172
0.2283,0.8009,284
-4.6312,2.9618,59
3.5342,2.4523,145
-0.6618,-1.5646,129
3.354,-4.2258,1
-2.6367,3.2848,176
-0.2661,5.1579,151
-4.2886,5.1782,36
1.9859,-5.386,2
-4.1468,2.6202,74
0.8248,-1.5917,131
1.8408,1.8166,111
-0.9544,5.1443,121
3.928,0.2728,70
5.8907,4.8053,39
3.1673,2.6604,158
-4.0813,2.4487,74
-4.226,1.8743,56
-3.1153,4.992,33
-1.6505,-5.9307,26
2.1154,-0.3486,130
5.0383,2.1097,63
1.5482,-3.8363,39
5.947,-5.2643,0
3.2673,3.7849,102
-0.9095,4.8932,124
-5.731,-3.5961,34
4.7946,3.7092,67
2.7298,4.1828,100
-3.7515,-0.343,210
-3.7859,0.7379,83
-1.1397,-5.107,62
-2.3694,-2.8814,93
-0.4481,5.8754,81
3.0697,-2.2698,139
-1.5224,-4.1994,122
-2.6154,-3.9149,77
-4.4714,-5.1861,39
0.374,2.5677,143
-2.6354,-5.3058,39
-4.4552,0.4364,110
-2.7924,0.8878,102
-3.7691,1.6372,85
2.2496,3.4144,110
-0.3815,-3.4136,141
-3.3042,-2.0892,113
5.6086,2.2048,57
3.9972,1.1423,100
0.4899,-2.282,114
3.4044,-4.6707,0
4.108,5.8586,49
-3.3284,-4.2113,47
3.4772,-3.6055,7
1.0308,1.1444,127
-5.0199,-1.1523,83
-5.0805,1.9492,48
3.0569,5.6442,38
-2.3099,-4.8236,49
4.3127,0.9376,84
2.2927,2.5428,143
5.0387,2.3155,74
0.5566,-2.049,117
5.4066,-5.2518,0
-5.8267,-4.0121,42
2.2574,2.6777,136
-1.7073,2.0813,124
-0.2042,3.8655,223
0.5965,-3.9474,42
1.7998,1.0523,100
-4.1214,3.3613,76
-0.0258,1.3717,146
2.4614,2.4682,130
-3.96,-5.8022,32
-5.2705,-3.9037,40
3.9006,4.2173,81
-2.1232,4.0515,110
-3.1161,0.657,113
-2.6863,-2.7222,80
5.1802,5.192,42
1.6476,1.8314,120
5.174,-2.3766,4
3.5672,4.1177,77
4.4464,-2.458,17
-4.9389,-4.5715,36
-4.6541,1.9489,71
4.8095,1.8588,72
2.5994,3.1883,132
3.316,3.7683,119
0.3499,1.2058,182
-2.704,-4.5511,40
-0.6816,5.311,90
5.5022,-1.2824,9
4.1244,5.7999,42
-1.716,-1.0713,120
0.118,-3.267,124
1.5089,-5.9467,0
0.1734,5.7672,110
-1.5264,-2.4416,128
0.8122,5.9323,82
1.0117,-5.6948,7
-0.8689,-2.0974,142
-4.7713,2.0498,60
1.9535,0.5485,108
4.1828,-4.135,4
-3.9259,-0.8665,197
1.5792,-1.3921,180
-1.3112,-5.4837,42
-0.098,0.2202,403
1.6519,-5.6529,1
-3.3531,-4.5617,48
-2.0153,-1.4761,124
0.683,-3.3055,84
2.9154,3.8683,98
-2.6176,-2.9566,104
-0.8333,5.8623,86
-3.0463,4.403,71
-2.2107,-1.6476,100
-1.6168,5.8186,48
-0.3989,2.3994,130
-5.5078,-5.8855,37
-1.7191,3.881,109
3.3464,3.8779,95
-2.3009,4.4997,69
4.0936,5.2525,33
-2.135,-2.9704,150
2.6992,-3.9692,14
3.9932,-2.0415,59
3.3352,0.1478,78
5.5955,4.3588,27
2.565,-4.7259,3
4.6218,5.2741,48
-3.6122,-3.8133,61
5.9741,2.894,46
4.6041,5.9715,34
-4.3309,4.7115,45
-0.0279,5.8118,86
1.8675,0.5109,120
2.3668,-0.3406,102
-5.2513,5.352,34
0.7697,3.5269,227
-1.0233,-2.3911,163
-5.4091,-1.8371,54
-0.9544,3.6205,137
3.4334,2.6846,174
4.0049,-5.5717,1
5.8339,4.0531,38
-2.3015,0.3455,111
-5.5628,-4.6158,36
2.1222,-3.0587,101
1.3031,-2.7768,123
-4.2142,1.8671,69
1.8523,5.4604,75
0.632,-1.4978,134
-0.6558,-2.4988,156
-2.2385,-4.8742,57
1.4761,2.1528,108
-1.9431,0.5576,105
-4.7929,-4.1051,42
3.8381,-5.441,0
-5.2052,-3.493,28
4.8141,3.2386,75
-2.8354,2.5511,173
2.952,1.5956,130
1.6161,-2.3606,167
-5.285,0.0139,74
-1.2646,1.0879,116
1.4989,1.4172,110
3.9628,-1.1601,65
-3.6118,-5.2066,42
4.9384,0.6196,44
-1.6512,-2.8723,134
3.0982,5.6772,41
-4.7393,3.5579,57
-1.2508,-4.6461,93
4.1714,4.9728,49
0.2841,-3.5171,106
3.1687,1.2859,100
-5.7694,1.9173,42
-4.5146,-1.8105,113
-4.5586,-4.7784,36
2.8043,-0.9363,144
4.3777,-4.3719,1
1.8119,-5.0941,5
-2.8779,-3.5806,86
-0.9193,-4.2782,97
-3.3319,-3.3631,77
3.5666,4.1075,97
-0.2549,-3.9497,107
5.7232,-3.1045,2
-1.0434,5.8029,69
-1.2198,4.287,103
5.4401,-3.6355,0
2.8041,-1.7587,199
-3.1898,-0.5537,146
0.768,0.8191,200
-3.8555,3.8335,60
-1.5686,-1.8498,129
-2.2572,1.4401,108
-4.9852,4.1766,35
-3.9704,-1.5977,133
1.6716,-0.7143,155
1.8275,-3.4995,47
1.4337,-4.3842,15
-4.1121,-3.1466,57
2.5914,1.8987,117
-4.0427,-2.9864,69
