x_km,y_km,demand
3.2121,-5.8788,0.13
3.3333,-5.8788,0.109
3.4545,-5.8788,0.091
3.5758,-5.8788,0.076
3.697,-5.8788,0.064
3.8182,-5.8788,0.053
3.9394,-5.8788,0.044
4.0606,-5.8788,0.037
4.1818,-5.8788,0.031
4.303,-5.8788,0.026
4.4242,-5.8788,0.022
4.5455,-5.8788,0.018
4.6667,-5.8788,0.015
4.7879,-5.8788,0.012
4.9091,-5.8788,0.01
5.0303,-5.8788,0.009
5.1515,-5.8788,0.007
5.2727,-5.8788,0.006
5.3939,-5.8788,0.005
5.5152,-5.8788,0.004
5.6364,-5.8788,0.003
5.7576,-5.8788,0.003
5.8788,-5.8788,0.002
6.0,-5.8788,0.002
-6.0,-5.7576,28.543
-5.8788,-5.7576,28.979
-5.7576,-5.7576,29.422
-5.6364,-5.7576,29.874
-5.5152,-5.7576,30.331
-5.3939,-5.7576,30.795
-5.2727,-5.7576,31.264
-5.1515,-5.7576,31.738
-5.0303,-5.7576,32.215
-4.9091,-5.7576,32.694
-4.7879,-5.7576,33.174
-4.6667,-5.7576,33.654
-4.5455,-5.7576,34.132
-4.4242,-5.7576,34.607
-4.303,-5.7576,35.077
-4.1818,-5.7576,35.54
-4.0606,-5.7576,35.995
-3.9394,-5.7576,36.439
-3.8182,-5.7576,36.869
-3.697,-5.7576,37.284
-3.5758,-5.7576,37.681
-3.4545,-5.7576,38.056
-3.3333,-5.7576,38.407
-3.2121,-5.7576,38.728
-3.0909,-5.7576,39.017
-2.9697,-5.7576,39.266
-2.8485,-5.7576,39.469
-2.7273,-5.7576,39.619
-2.6061,-5.7576,39.705
-2.4848,-5.7576,39.715
-2.3636,-5.7576,39.638
-2.2424,-5.7576,39.457
-2.1212,-5.7576,39.156
-2.0,-5.7576,38.718
-1.8788,-5.7576,38.128
-1.7576,-5.7576,37.369
-1.6364,-5.7576,36.431
-1.5152,-5.7576,35.306
-1.3939,-5.7576,33.993
-1.2727,-5.7576,32.498
-1.1515,-5.7576,30.835
-1.0303,-5.7576,29.026
-0.9091,-5.7576,27.101
-0.7879,-5.7576,25.094
-0.6667,-5.7576,23.043
-0.5455,-5.7576,20.987
-0.4242,-5.7576,18.963
-0.303,-5.7576,17.006
-0.1818,-5.7576,15.142
-0.0606,-5.7576,13.393
0.0606,-5.7576,11.775
0.1818,-5.7576,10.296
0.303,-5.7576,8.958
0.4242,-5.7576,7.76
0.5455,-5.7576,6.695
0.6667,-5.7576,5.757
0.7879,-5.7576,4.936
0.9091,-5.7576,4.22
1.0303,-5.7576,3.599
1.1515,-5.7576,3.063
1.2727,-5.7576,2.602
1.3939,-5.7576,2.207
1.5152,-5.7576,1.869
1.6364,-5.7576,1.58
1.7576,-5.7576,1.334
1.8788,-5.7576,1.126
2.0,-5.7576,0.948
2.1212,-5.7576,0.798
2.2424,-5.7576,0.672
2.3636,-5.7576,0.564
2.4848,-5.7576,0.474
2.6061,-5.7576,0.398
2.7273,-5.7576,0.333
2.8485,-5.7576,0.279
2.9697,-5.7576,0.234
3.0909,-5.7576,0.196
3.2121,-5.7576,0.164
3.3333,-5.7576,0.137
3.4545,-5.7576,0.115
3.5758,-5.7576,0.096
3.697,-5.7576,0.08
3.8182,-5.7576,0.067
3.9394,-5.7576,0.056
4.0606,-5.7576,0.047
4.1818,-5.7576,0.039
4.303,-5.7576,0.032
4.4242,-5.7576,0.027
4.5455,-5.7576,0.023
4.6667,-5.7576,0.019
4.7879,-5.7576,0.016
4.9091,-5.7576,0.013
5.0303,-5.7576,0.011
5.1515,-5.7576,0.009
5.2727,-5.7576,0.008
5.3939,-5.7576,0.006
5.5152,-5.7576,0.005
5.6364,-5.7576,0.004
5.7576,-5.7576,0.004
5.8788,-5.7576,0.003
6.0,-5.7576,0.003
-6.0,-5.6364,28.968
-5.8788,-5.6364,29.423
-5.7576,-5.6364,29.885
-5.6364,-5.6364,30.356
-5.5152,-5.6364,30.833
-5.3939,-5.6364,31.318
-5.2727,-5.6364,31.808
-5.1515,-5.6364,32.303
-5.0303,-5.6364,32.802
-4.9091,-5.6364,33.304
-4.7879,-5.6364,33.808
-4.6667,-5.6364,34.313
-4.5455,-5.6364,34.817
-4.4242,-5.6364,35.32
-4.303,-5.6364,35.819
-4.1818,-5.6364,36.313
-4.0606,-5.6364,36.801
-3.9394,-5.6364,37.281
-3.8182,-5.6364,37.752
-3.697,-5.6364,38.212
-3.5758,-5.6364,38.658
-3.4545,-5.6364,39.09
-3.3333,-5.6364,39.506
-3.2121,-5.6364,39.901
-3.0909,-5.6364,40.274
-2.9697,-5.6364,40.621
-2.8485,-5.6364,40.935
-2.7273,-5.6364,41.211
-2.6061,-5.6364,41.439
-2.4848,-5.6364,41.608
-2.3636,-5.6364,41.705
-2.2424,-5.6364,41.714
-2.1212,-5.6364,41.615
-2.0,-5.6364,41.388
-1.8788,-5.6364,41.013
-1.7576,-5.6364,40.468
-1.6364,-5.6364,39.735
-1.5152,-5.6364,38.799
-1.3939,-5.6364,37.65
-1.2727,-5.6364,36.287
-1.1515,-5.6364,34.716
-1.0303,-5.6364,32.954
-0.9091,-5.6364,31.026
-0.7879,-5.6364,28.966
-0.6667,-5.6364,26.814
-0.5455,-5.6364,24.611
-0.4242,-5.6364,22.403
-0.303,-5.6364,20.23
-0.1818,-5.6364,18.129
-0.0606,-5.6364,16.131
0.0606,-5.6364,14.259
0.1818,-5.6364,12.529
0.303,-5.6364,10.949
0.4242,-5.6364,9.522
0.5455,-5.6364,8.245
0.6667,-5.6364,7.112
0.7879,-5.6364,6.114
0.9091,-5.6364,5.24
1.0303,-5.6364,4.479
1.1515,-5.6364,3.82
1.2727,-5.6364,3.25
1.3939,-5.6364,2.761
1.5152,-5.6364,2.341
1.6364,-5.6364,1.981
1.7576,-5.6364,1.675
1.8788,-5.6364,1.414
2.0,-5.6364,1.192
2.1212,-5.6364,1.004
2.2424,-5.6364,0.845
2.3636,-5.6364,0.71
2.4848,-5.6364,0.597
2.6061,-5.6364,0.501
2.7273,-5.6364,0.42
2.8485,-5.6364,0.352
2.9697,-5.6364,0.295
3.0909,-5.6364,0.247
3.2121,-5.6364,0.207
3.3333,-5.6364,0.173
3.4545,-5.6364,0.144
3.5758,-5.6364,0.121
3.697,-5.6364,0.101
3.8182,-5.6364,0.084
3.9394,-5.6364,0.07
4.0606,-5.6364,0.059
4.1818,-5.6364,0.049
4.303,-5.6364,0.041
4.4242,-5.6364,0.034
4.5455,-5.6364,0.028
4.6667,-5.6364,0.024
4.7879,-5.6364,0.02
4.9091,-5.6364,0.016
5.0303,-5.6364,0.014
5.1515,-5.6364,0.011
5.2727,-5.6364,0.009
5.3939,-5.6364,0.008
5.5152,-5.6364,0.007
5.6364,-5.6364,0.005
5.7576,-5.6364,0.005
5.8788,-5.6364,0.004
6.0,-5.6364,0.003
-6.0,-5.5152,29.401
-5.8788,-5.5152,29.873
-5.7576,-5.5152,30.355
-5.6364,-5.5152,30.845
-5.5152,-5.5152,31.342
-5.3939,-5.5152,31.847
-5.2727,-5.5152,32.358
-5.1515,-5.5152,32.875
-5.0303,-5.5152,33.396
-4.9091,-5.5152,33.921
-4.7879,-5.5152,34.449
-4.6667,-5.5152,34.979
-4.5455,-5.5152,35.509
-4.4242,-5.5152,36.038
-4.303,-5.5152,36.566
-4.1818,-5.5152,37.09
-4.0606,-5.5152,37.611
-3.9394,-5.5152,38.127
-3.8182,-5.5152,38.637
-3.697,-5.5152,39.141
-3.5758,-5.5152,39.638
-3.4545,-5.5152,40.126
-3.3333,-5.5152,40.607
-3.2121,-5.5152,41.078
-3.0909,-5.5152,41.539
-2.9697,-5.5152,41.987
-2.8485,-5.5152,42.418
-2.7273,-5.5152,42.827
-2.6061,-5.5152,43.207
-2.4848,-5.5152,43.546
-2.3636,-5.5152,43.831
-2.2424,-5.5152,44.045
-2.1212,-5.5152,44.166
-2.0,-5.5152,44.172
-1.8788,-5.5152,44.035
-1.7576,-5.5152,43.729
-1.6364,-5.5152,43.229
-1.5152,-5.5152,42.511
-1.3939,-5.5152,41.558
-1.2727,-5.5152,40.359
-1.1515,-5.5152,38.913
-1.0303,-5.5152,37.23
-0.9091,-5.5152,35.33
-0.7879,-5.5152,33.245
-0.6667,-5.5152,31.013
-0.5455,-5.5152,28.681
-0.4242,-5.5152,26.297
-0.303,-5.5152,23.911
-0.1818,-5.5152,21.568
-0.0606,-5.5152,19.308
0.0606,-5.5152,17.164
0.1818,-5.5152,15.16
0.303,-5.5152,13.311
0.4242,-5.5152,11.626
0.5455,-5.5152,10.106
0.6667,-5.5152,8.748
0.7879,-5.5152,7.544
0.9091,-5.5152,6.484
1.0303,-5.5152,5.557
1.1515,-5.5152,4.749
1.2727,-5.5152,4.05
1.3939,-5.5152,3.446
1.5152,-5.5152,2.926
1.6364,-5.5152,2.48
1.7576,-5.5152,2.099
1.8788,-5.5152,1.774
2.0,-5.5152,1.497
2.1212,-5.5152,1.262
2.2424,-5.5152,1.063
2.3636,-5.5152,0.894
2.4848,-5.5152,0.751
2.6061,-5.5152,0.631
2.7273,-5.5152,0.529
2.8485,-5.5152,0.443
2.9697,-5.5152,0.372
3.0909,-5.5152,0.311
3.2121,-5.5152,0.26
3.3333,-5.5152,0.218
3.4545,-5.5152,0.182
3.5758,-5.5152,0.152
3.697,-5.5152,0.127
3.8182,-5.5152,0.106
3.9394,-5.5152,0.088
4.0606,-5.5152,0.074
4.1818,-5.5152,0.062
4.303,-5.5152,0.051
4.4242,-5.5152,0.043
4.5455,-5.5152,0.036
4.6667,-5.5152,0.03
4.7879,-5.5152,0.025
4.9091,-5.5152,0.021
5.0303,-5.5152,0.017
5.1515,-5.5152,0.014
5.2727,-5.5152,0.012
5.3939,-5.5152,0.01
5.5152,-5.5152,0.008
5.6364,-5.5152,0.007
5.7576,-5.5152,0.006
5.8788,-5.5152,0.005
6.0,-5.5152,0.004
-6.0,-5.3939,29.839
-5.8788,-5.3939,30.33
-5.7576,-5.3939,30.831
-5.6364,-5.3939,31.341
-5.5152,-5.3939,31.859
-5.3939,-5.3939,32.384
-5.2727,-5.3939,32.916
-5.1515,-5.3939,33.454
-5.0303,-5.3939,33.998
-4.9091,-5.3939,34.546
-4.7879,-5.3939,35.097
-4.6667,-5.3939,35.651
-4.5455,-5.3939,36.207
-4.4242,-5.3939,36.763
-4.303,-5.3939,37.318
-4.1818,-5.3939,37.873
-4.0606,-5.3939,38.426
-3.9394,-5.3939,38.978
-3.8182,-5.3939,39.528
-3.697,-5.3939,40.076
-3.5758,-5.3939,40.623
-3.4545,-5.3939,41.17
-3.3333,-5.3939,41.719
-3.2121,-5.3939,42.27
-3.0909,-5.3939,42.823
-2.9697,-5.3939,43.379
-2.8485,-5.3939,43.936
-2.7273,-5.3939,44.49
-2.6061,-5.3939,45.035
-2.4848,-5.3939,45.561
-2.3636,-5.3939,46.054
-2.2424,-5.3939,46.494
-2.1212,-5.3939,46.86
-2.0,-5.3939,47.123
-1.8788,-5.3939,47.252
-1.7576,-5.3939,47.214
-1.6364,-5.3939,46.976
-1.5152,-5.3939,46.506
-1.3939,-5.3939,45.778
-1.2727,-5.3939,44.772
-1.1515,-5.3939,43.48
-1.0303,-5.3939,41.904
-0.9091,-5.3939,40.058
-0.7879,-5.3939,37.969
-0.6667,-5.3939,35.678
-0.5455,-5.3939,33.23
-0.4242,-5.3939,30.68
-0.303,-5.3939,28.084
-0.1818,-5.3939,25.495
-0.0606,-5.3939,22.963
0.0606,-5.3939,20.53
0.1818,-5.3939,18.23
0.303,-5.3939,16.087
0.4242,-5.3939,14.115
0.5455,-5.3939,12.322
0.6667,-5.3939,10.707
0.7879,-5.3939,9.267
0.9091,-5.3939,7.99
1.0303,-5.3939,6.867
1.1515,-5.3939,5.885
1.2727,-5.3939,5.03
1.3939,-5.3939,4.289
1.5152,-5.3939,3.649
1.6364,-5.3939,3.098
1.7576,-5.3939,2.626
1.8788,-5.3939,2.222
2.0,-5.3939,1.878
2.1212,-5.3939,1.584
2.2424,-5.3939,1.335
2.3636,-5.3939,1.124
2.4848,-5.3939,0.945
2.6061,-5.3939,0.794
2.7273,-5.3939,0.666
2.8485,-5.3939,0.558
2.9697,-5.3939,0.468
3.0909,-5.3939,0.392
3.2121,-5.3939,0.328
3.3333,-5.3939,0.274
3.4545,-5.3939,0.229
3.5758,-5.3939,0.191
3.697,-5.3939,0.16
3.8182,-5.3939,0.133
3.9394,-5.3939,0.111
4.0606,-5.3939,0.093
4.1818,-5.3939,0.077
4.303,-5.3939,0.065
4.4242,-5.3939,0.054
4.5455,-5.3939,0.045
4.6667,-5.3939,0.037
4.7879,-5.3939,0.031
4.9091,-5.3939,0.026
5.0303,-5.3939,0.022
5.1515,-5.3939,0.018
5.2727,-5.3939,0.015
5.3939,-5.3939,0.012
5.5152,-5.3939,0.01
5.6364,-5.3939,0.009
5.7576,-5.3939,0.007
5.8788,-5.3939,0.006
6.0,-5.3939,0.005
-6.0,-5.2727,30.284
-5.8788,-5.2727,30.794
-5.7576,-5.2727,31.314
-5.6364,-5.2727,31.843
-5.5152,-5.2727,32.381
-5.3939,-5.2727,32.927
-5.2727,-5.2727,33.481
-5.1515,-5.2727,34.041
-5.0303,-5.2727,34.607
-4.9091,-5.2727,35.178
-4.7879,-5.2727,35.753
-4.6667,-5.2727,36.331
-4.5455,-5.2727,36.911
-4.4242,-5.2727,37.494
-4.303,-5.2727,38.078
-4.1818,-5.2727,38.663
-4.0606,-5.2727,39.248
-3.9394,-5.2727,39.836
-3.8182,-5.2727,40.426
-3.697,-5.2727,41.02
-3.5758,-5.2727,41.62
-3.4545,-5.2727,42.228
-3.3333,-5.2727,42.849
-3.2121,-5.2727,43.485
-3.0909,-5.2727,44.139
-2.9697,-5.2727,44.813
-2.8485,-5.2727,45.508
-2.7273,-5.2727,46.223
-2.6061,-5.2727,46.952
-2.4848,-5.2727,47.687
-2.3636,-5.2727,48.412
-2.2424,-5.2727,49.107
-2.1212,-5.2727,49.747
-2.0,-5.2727,50.299
-1.8788,-5.2727,50.727
-1.7576,-5.2727,50.99
-1.6364,-5.2727,51.047
-1.5152,-5.2727,50.856
-1.3939,-5.2727,50.384
-1.2727,-5.2727,49.6
-1.1515,-5.2727,48.487
-1.0303,-5.2727,47.039
-0.9091,-5.2727,45.267
-0.7879,-5.2727,43.192
-0.6667,-5.2727,40.854
-0.5455,-5.2727,38.301
-0.4242,-5.2727,35.59
-0.303,-5.2727,32.783
-0.1818,-5.2727,29.943
-0.0606,-5.2727,27.129
0.0606,-5.2727,24.392
0.1818,-5.2727,21.777
0.303,-5.2727,19.314
0.4242,-5.2727,17.029
0.5455,-5.2727,14.933
0.6667,-5.2727,13.031
0.7879,-5.2727,11.322
0.9091,-5.2727,9.798
1.0303,-5.2727,8.449
1.1515,-5.2727,7.263
1.2727,-5.2727,6.225
1.3939,-5.2727,5.321
1.5152,-5.2727,4.538
1.6364,-5.2727,3.861
1.7576,-5.2727,3.278
1.8788,-5.2727,2.779
2.0,-5.2727,2.351
2.1212,-5.2727,1.986
2.2424,-5.2727,1.675
2.3636,-5.2727,1.411
2.4848,-5.2727,1.187
2.6061,-5.2727,0.998
2.7273,-5.2727,0.838
2.8485,-5.2727,0.703
2.9697,-5.2727,0.589
3.0909,-5.2727,0.493
3.2121,-5.2727,0.413
3.3333,-5.2727,0.345
3.4545,-5.2727,0.288
3.5758,-5.2727,0.241
3.697,-5.2727,0.201
3.8182,-5.2727,0.168
3.9394,-5.2727,0.14
4.0606,-5.2727,0.117
4.1818,-5.2727,0.097
4.303,-5.2727,0.081
4.4242,-5.2727,0.068
4.5455,-5.2727,0.056
4.6667,-5.2727,0.047
4.7879,-5.2727,0.039
4.9091,-5.2727,0.032
5.0303,-5.2727,0.027
5.1515,-5.2727,0.023
5.2727,-5.2727,0.019
5.3939,-5.2727,0.016
5.5152,-5.2727,0.013
5.6364,-5.2727,0.011
5.7576,-5.2727,0.009
5.8788,-5.2727,0.007
6.0,-5.2727,0.006
-6.0,-5.1515,30.734
-5.8788,-5.1515,31.263
-5.7576,-5.1515,31.803
-5.6364,-5.1515,32.352
-5.5152,-5.1515,32.91
-5.3939,-5.1515,33.477
-5.2727,-5.1515,34.052
-5.1515,-5.1515,34.634
-5.0303,-5.1515,35.222
-4.9091,-5.1515,35.816
-4.7879,-5.1515,36.415
-4.6667,-5.1515,37.017
-4.5455,-5.1515,37.623
-4.4242,-5.1515,38.232
-4.303,-5.1515,38.844
-4.1818,-5.1515,39.46
-4.0606,-5.1515,40.078
-3.9394,-5.1515,40.702
-3.8182,-5.1515,41.334
-3.697,-5.1515,41.975
-3.5758,-5.1515,42.631
-3.4545,-5.1515,43.305
-3.3333,-5.1515,44.004
-3.2121,-5.1515,44.732
-3.0909,-5.1515,45.497
-2.9697,-5.1515,46.303
-2.8485,-5.1515,47.153
-2.7273,-5.1515,48.049
-2.6061,-5.1515,48.986
-2.4848,-5.1515,49.956
-2.3636,-5.1515,50.944
-2.2424,-5.1515,51.929
-2.1212,-5.1515,52.88
-2.0,-5.1515,53.76
-1.8788,-5.1515,54.526
-1.7576,-5.1515,55.128
-1.6364,-5.1515,55.517
-1.5152,-5.1515,55.642
-1.3939,-5.1515,55.455
-1.2727,-5.1515,54.92
-1.1515,-5.1515,54.009
-1.0303,-5.1515,52.709
-0.9091,-5.1515,51.024
-0.7879,-5.1515,48.973
-0.6667,-5.1515,46.594
-0.5455,-5.1515,43.937
-0.4242,-5.1515,41.064
-0.303,-5.1515,38.043
-0.1818,-5.1515,34.944
-0.0606,-5.1515,31.836
0.0606,-5.1515,28.78
0.1818,-5.1515,25.83
0.303,-5.1515,23.027
0.4242,-5.1515,20.402
0.5455,-5.1515,17.975
0.6667,-5.1515,15.757
0.7879,-5.1515,13.749
0.9091,-5.1515,11.947
1.0303,-5.1515,10.341
1.1515,-5.1515,8.921
1.2727,-5.1515,7.671
1.3939,-5.1515,6.577
1.5152,-5.1515,5.624
1.6364,-5.1515,4.797
1.7576,-5.1515,4.083
1.8788,-5.1515,3.467
2.0,-5.1515,2.939
2.1212,-5.1515,2.486
2.2424,-5.1515,2.1
2.3636,-5.1515,1.771
2.4848,-5.1515,1.492
2.6061,-5.1515,1.255
2.7273,-5.1515,1.054
2.8485,-5.1515,0.884
2.9697,-5.1515,0.741
3.0909,-5.1515,0.621
3.2121,-5.1515,0.52
3.3333,-5.1515,0.434
3.4545,-5.1515,0.363
3.5758,-5.1515,0.303
3.697,-5.1515,0.253
3.8182,-5.1515,0.211
3.9394,-5.1515,0.176
4.0606,-5.1515,0.147
4.1818,-5.1515,0.122
4.303,-5.1515,0.102
4.4242,-5.1515,0.085
4.5455,-5.1515,0.071
4.6667,-5.1515,0.059
4.7879,-5.1515,0.049
4.9091,-5.1515,0.041
5.0303,-5.1515,0.034
5.1515,-5.1515,0.028
5.2727,-5.1515,0.024
5.3939,-5.1515,0.02
5.5152,-5.1515,0.016
5.6364,-5.1515,0.014
5.7576,-5.1515,0.011
5.8788,-5.1515,0.009
6.0,-5.1515,0.008
-6.0,-5.0303,31.189
-5.8788,-5.0303,31.737
-5.7576,-5.0303,32.297
-5.6364,-5.0303,32.866
-5.5152,-5.0303,33.445
-5.3939,-5.0303,34.033
-5.2727,-5.0303,34.63
-5.1515,-5.0303,35.234
-5.0303,-5.0303,35.844
-4.9091,-5.0303,36.461
-4.7879,-5.0303,37.084
-4.6667,-5.0303,37.711
-4.5455,-5.0303,38.342
-4.4242,-5.0303,38.978
-4.303,-5.0303,39.619
-4.1818,-5.0303,40.265
-4.0606,-5.0303,40.917
-3.9394,-5.0303,41.579
-3.8182,-5.0303,42.254
-3.697,-5.0303,42.945
-3.5758,-5.0303,43.66
-3.4545,-5.0303,44.405
-3.3333,-5.0303,45.189
-3.2121,-5.0303,46.021
-3.0909,-5.0303,46.909
-2.9697,-5.0303,47.862
-2.8485,-5.0303,48.887
-2.7273,-5.0303,49.986
-2.6061,-5.0303,51.159
-2.4848,-5.0303,52.398
-2.3636,-5.0303,53.686
-2.2424,-5.0303,55.0
-2.1212,-5.0303,56.305
-2.0,-5.0303,57.558
-1.8788,-5.0303,58.707
-1.7576,-5.0303,59.695
-1.6364,-5.0303,60.458
-1.5152,-5.0303,60.936
-1.3939,-5.0303,61.07
-1.2727,-5.0303,60.811
-1.1515,-5.0303,60.124
-1.0303,-5.0303,58.986
-0.9091,-5.0303,57.396
-0.7879,-5.0303,55.373
-0.6667,-5.0303,52.951
-0.5455,-5.0303,50.185
-0.4242,-5.0303,47.14
-0.303,-5.0303,43.893
-0.1818,-5.0303,40.522
-0.0606,-5.0303,37.104
0.0606,-5.0303,33.713
0.1818,-5.0303,30.409
0.303,-5.0303,27.245
0.4242,-5.0303,24.259
0.5455,-5.0303,21.478
0.6667,-5.0303,18.917
0.7879,-5.0303,16.582
0.9091,-5.0303,14.473
1.0303,-5.0303,12.582
1.1515,-5.0303,10.898
1.2727,-5.0303,9.407
1.3939,-5.0303,8.094
1.5152,-5.0303,6.944
1.6364,-5.0303,5.941
1.7576,-5.0303,5.07
1.8788,-5.0303,4.316
2.0,-5.0303,3.667
2.1212,-5.0303,3.108
2.2424,-5.0303,2.63
2.3636,-5.0303,2.221
2.4848,-5.0303,1.873
2.6061,-5.0303,1.576
2.7273,-5.0303,1.325
2.8485,-5.0303,1.113
2.9697,-5.0303,0.933
3.0909,-5.0303,0.782
3.2121,-5.0303,0.654
3.3333,-5.0303,0.547
3.4545,-5.0303,0.457
3.5758,-5.0303,0.382
3.697,-5.0303,0.319
3.8182,-5.0303,0.266
3.9394,-5.0303,0.222
4.0606,-5.0303,0.185
4.1818,-5.0303,0.154
4.303,-5.0303,0.128
4.4242,-5.0303,0.107
4.5455,-5.0303,0.089
4.6667,-5.0303,0.074
4.7879,-5.0303,0.062
4.9091,-5.0303,0.051
5.0303,-5.0303,0.043
5.1515,-5.0303,0.035
5.2727,-5.0303,0.029
5.3939,-5.0303,0.025
5.5152,-5.0303,0.02
5.6364,-5.0303,0.017
5.7576,-5.0303,0.014
5.8788,-5.0303,0.012
6.0,-5.0303,0.01
-6.0,-4.9091,31.649
-5.8788,-4.9091,32.217
-5.7576,-4.9091,32.796
-5.6364,-4.9091,33.386
-5.5152,-4.9091,33.986
-5.3939,-4.9091,34.595
-5.2727,-4.9091,35.213
-5.1515,-4.9091,35.839
-5.0303,-4.9091,36.473
-4.9091,-4.9091,37.113
-4.7879,-4.9091,37.759
-4.6667,-4.9091,38.411
-4.5455,-4.9091,39.069
